"PIN","sex","age","dq_ethnicity_1","dq_ethnicity_2","dq_ethnicity_3","dq_ethnicity_4","dq_ethnicity_5","dq_ethnicity_6","dq_religion1","dq_religion2","dq_religion3","dq_religion4","dq_religion5","dq_religion6","dq_religion7","dq_religion8","dq_religion9","dq_religion10","dq_religion11","dq_religion12","dq_politics1","dq_politics2","dq_politics3","dq_politics4","dq_politics5","dq_politics6","dq_politics7","self_race1","self_race2","self_race3","self_race4","self_race5","self_race6","self_race7","self_religion","self_politics","ideal_affectionate","ideal_ambition","ideal_artistic","ideal_disposition","ideal_family","ideal_health","ideal_humor","ideal_intelligent","ideal_kind","ideal_parenting","ideal_physatt","ideal_religious","ideal_resources","ideal_sexy","ideal_status","ideal_age","self_affectionate_comp","self_ambition_comp","self_artistic_comp","self_disposition_comp","self_family_comp","self_health_comp","self_humor_comp","self_intelligent_comp","self_kind_comp","self_parenting_comp","self_physatt_comp","self_religious_comp","self_resources_comp","self_sexy_comp","self_status_comp","self_age"
285,0,25,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,4,5,5,3,6,8,6,7,6,8,6,5,3,8,4,5,1,7,6,7,7,6,6,9,9,8,8,5,5,6,8,7,0
344,0,34,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,4,10,10,4,8,8,9,8,10,9,10,7,1,8,9,8,1,10,10,4,6,7,7,8,9,10,9,9,1,5,10,6,1
469,0,23,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,2,9,9,7,8,8,6,9,9,10,10,8,5,9,9,8,2,8,7,8,8,10,8,7,8,8,8,6,4,6,7,5,1
279,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,7,3,4,6,5,5,5,7,6,4,4,5,7,6,5,7,1,4,4,7,4,6,6,6,6,5,3,4,7,6,4,5,1
349,0,19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,5,6,4,4,6,7,6,6,7,8,6,2,6,6,6,1,5,7,6,7,4,9,7,6,7,8,5,6,5,6,7,1
493,0,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,4,4,4,2,5,6,4,5,4,5,4,3,0,5,4,3,2,4,4,2,4,3,5,4,5,3,4,5,0,4,4,3,1
488,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,12,4,6,6,7,8,7,6,8,7,9,6,7,1,8,8,7,1,9,8,6,9,8,6,9,5,9,7,10,1,8,7,7,2
455,0,24,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,6,5,5,3,3,6,6,4,4,2,6,5,5,5,4,7,3,6,5,0,3,5,4,3,6,4,6,6,5,5,6,4,2
445,0,30,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,4,7,5,6,5,6,5,7,6,6,7,8,5,7,6,5,2,7,7,4,8,5,5,8,8,8,8,5,7,7,7,6,2
375,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,5,4,7,5,5,7,7,7,8,4,8,2,0,5,6,6,0,5,4,4,4,4,5,7,5,5,7,5,2,2,5,3,1
257,0,21,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,6,6,8,5,6,8,7,7,6,8,8,5,6,7,6,8,1,6,8,6,5,7,6,7,5,7,8,5,8,7,4,7,0
456,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11,4,7,9,6,6,6,9,8,10,9,7,8,7,9,8,10,1,8,7,8,8,10,9,9,8,10,7,8,6,10,7,10,2
422,0,30,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,6,5,4,5,5,5,4,5,5,8,5,6,2,5,3,1,8,6,6,5,6,5,5,7,7,9,9,9,4,8,6,1
332,0,22,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,2,5,4,3,3,7,8,5,6,4,3,3,4,5,4,7,3,7,4,4,4,8,6,6,6,6,4,5,6,6,6,4,1
441,0,18,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,8,9,8,10,9,7,10,10,10,10,6,6,10,9,7,2,9,8,5,7,8,5,9,7,9,8,8,3,6,8,7,1
258,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,4,10,9,3,7,6,4,9,8,9,6,9,2,9,8,6,1,10,7,7,6,7,8,6,7,8,5,7,3,6,8,5,2
326,0,30,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,3,10,6,4,8,7,5,7,5,9,9,7,3,7,7,6,1,10,8,4,10,7,6,7,7,9,10,8,5,8,9,7,1
280,0,19,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,5,9,7,4,6,6,6,6,7,7,6,5,3,6,5,5,3,9,7,8,6,5,4,6,7,9,8,5,5,7,7,6,1
252,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,11,7,7,6,4,6,5,3,4,4,5,6,0,0,2,4,5,2,5,4,2,6,2,3,3,3,5,4,3,2,3,3,3,2
414,0,24,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,4,6,6,6,6,7,7,6,7,4,6,5,1,4,5,6,1,7,7,7,7,6,7,8,8,7,8,8,2,5,8,6,1
416,0,24,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,4,9,8,5,8,6,7,8,7,10,10,7,2,6,8,5,1,5,6,4,6,5,6,7,6,5,8,8,0,6,6,5,1
269,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,11,6,7,10,7,7,7,8,9,8,8,5,4,5,9,6,8,1,8,8,7,6,6,6,6,8,8,3,8,5,6,7,7,0
346,0,23,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,11,1,9,9,5,10,7,7,8,10,8,7,8,0,8,8,7,2,6,6,4,6,4,4,4,5,5,4,4,1,3,3,5,2
281,0,24,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,12,3,10,8,7,8,7,9,8,9,8,9,6,4,8,9,7,1,9,7,5,5,4,5,8,6,9,7,7,3,6,7,4,0
268,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11,7,7,9,6,8,7,8,10,8,8,9,7,10,9,6,7,1,7,9,7,8,10,8,9,9,10,9,8,6,9,8,9,2
473,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,5,7,8,5,6,7,9,5,6,5,5,5,8,7,5,5,3,7,6,7,6,7,6,5,7,5,5,6,5,7,4,6,2
472,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,6,7,7,7,5,5,7,7,9,6,8,6,6,6,6,7,1,7,8,9,6,10,6,8,8,9,10,7,6,6,7,7,0
302,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,12,4,2,7,4,4,4,5,6,4,7,7,5,4,6,5,7,1,4,5,8,5,6,4,6,6,5,6,6,4,5,6,7,0
388,0,20,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,2,10,10,10,10,10,7,9,9,10,10,10,7,10,9,9,1,10,9,10,8,9,7,10,8,10,9,8,6,8,8,10,2
255,0,30,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,6,8,9,8,8,9,9,7,5,8,10,9,9,7,6,8,3,7,5,4,6,7,5,6,6,6,9,8,8,7,6,7,3
342,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11,5,3,6,4,3,7,5,4,5,4,7,7,7,5,3,4,1,3,4,5,5,6,5,3,5,3,6,5,9,3,4,3,1
282,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,3,6,9,4,5,7,7,6,5,8,8,6,2,7,9,5,1,7,6,4,6,5,5,6,5,7,7,7,2,4,7,5,2
484,0,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,3,9,7,4,6,5,6,7,6,7,7,6,4,7,6,7,1,8,9,8,7,7,6,5,8,8,7,8,5,8,6,6,1
465,0,24,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,11,7,7,6,6,6,5,7,8,8,8,8,5,4,7,6,6,1,8,8,7,6,6,5,8,6,7,8,6,5,4,6,6,0
267,0,34,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,4,8,6,6,9,6,6,8,6,7,7,6,7,8,7,6,0,7,8,6,7,8,7,8,5,8,5,6,6,6,6,6,0
392,0,31,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,4,8,10,8,9,10,7,9,9,9,10,8,7,8,9,9,1,8,6,9,6,8,7,6,7,9,10,9,7,5,9,8,1
301,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,5,9,6,9,8,6,9,8,8,6,8,9,7,6,9,7,1,7,8,9,5,7,8,8,8,5,6,7,7,8,7,7,0
270,0,22,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,9,8,6,8,9,7,5,8,7,10,6,3,6,8,9,1,10,9,8,9,4,5,6,7,7,10,7,2,5,8,7,1
315,0,28,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,12,1,4,8,7,7,7,6,7,6,9,8,6,2,7,7,7,0,7,9,8,6,7,6,6,8,9,9,6,5,5,7,4,2
373,0,27,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,4,7,8,5,8,6,6,9,9,9,6,10,6,10,9,9,1,7,9,8,9,9,9,7,8,10,7,9,7,10,9,6,0
251,0,21,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,4,6,5,6,4,8,6,6,7,5,7,6,5,7,6,3,5,8,6,6,6,7,8,7,8,5,6,7,7,7,9,6,3
404,0,20,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,11,6,5,4,3,5,4,6,5,5,4,4,5,5,3,5,7,2,4,5,2,3,4,4,6,5,3,3,5,4,4,3,3,1
358,0,23,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,4,4,6,7,5,5,5,6,4,6,6,4,7,6,5,6,2,7,4,4,4,5,2,4,4,4,5,4,5,2,5,4,1
476,0,26,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,12,6,8,10,3,8,5,8,7,8,8,7,9,0,8,7,9,1,8,8,4,6,6,7,6,10,8,8,10,1,8,7,9,1
374,0,26,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13,4,9,7,9,8,9,9,8,8,10,9,8,3,8,8,5,1,9,7,6,9,9,7,9,7,9,7,10,0,9,10,7,1
470,0,26,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9,4,6,7,8,6,9,9,9,7,5,9,7,6,6,6,8,0,6,4,4,5,6,8,7,7,6,6,8,6,7,5,4,0
437,0,27,NA,1,NA,NA,1,1,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,12,4,7,6,2,6,8,5,4,4,5,3,5,3,4,7,5,2,8,6,5,6,6,6,5,6,5,2,7,2,7,6,7,1
461,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,3,10,8,5,7,6,7,8,7,8,7,7,3,8,7,7,2,9,7,6,6,7,6,7,8,8,8,7,1,7,8,7,1
265,0,21,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,7,9,10,6,7,6,8,10,10,9,5,10,0,7,10,10,2,9,9,6,8,4,7,10,10,8,5,9,0,6,10,6,1
475,0,31,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,4,8,6,7,7,4,7,6,7,6,6,6,6,4,5,8,3,5,5,7,7,6,7,8,6,6,3,7,7,5,5,6,2
253,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,7,4,4,5,5,4,5,5,7,7,6,2,5,5,6,3,3,4,3,6,3,6,4,5,6,5,6,2,5,4,4,4,2
312,0,29,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,12,4,8,9,8,8,10,7,10,8,7,7,8,5,8,8,10,1,8,9,6,7,7,8,9,9,7,6,9,7,9,9,9,1
277,0,21,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,5,7,6,7,6,4,5,6,6,5,6,7,6,5,7,3,6,6,7,7,3,7,5,6,5,6,6,9,6,7,5,1
365,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,9,9,10,5,10,10,9,8,10,9,9,9,10,8,9,1,10,8,10,10,9,10,10,8,10,9,10,10,9,8,7,1
372,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,6,7,5,8,5,5,4,4,7,6,5,5,5,5,7,5,4,9,5,7,7,7,6,6,7,8,7,9,7,6,10,4,2
379,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,5,9,7,4,9,6,7,10,7,10,8,7,3,9,8,6,3,8,6,5,6,7,5,8,4,7,5,7,1,6,7,5,3
264,0,29,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,6,7,4,6,7,6,4,6,5,6,6,6,5,7,7,6,2,8,5,6,7,3,4,7,7,7,6,5,4,4,7,6,1
496,0,23,1,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,8,5,9,7,7,7,6,8,8,7,6,6,6,5,7,6,8,2,9,8,7,7,8,7,7,7,8,5,9,4,8,7,7,2
338,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,2,7,5,5,7,6,8,5,8,8,2,6,3,7,7,6,2,6,7,6,3,6,6,5,6,8,6,6,2,5,7,4,2
436,0,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,12,5,8,6,10,8,10,10,7,8,9,9,8,8,9,10,6,2,8,8,8,6,8,5,7,8,8,9,8,7,6,7,7,1
401,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,7,7,6,8,6,8,8,5,8,7,7,7,6,5,7,5,1,7,6,5,5,6,6,7,7,6,8,4,5,3,6,5,1
367,0,28,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13,5,4,6,2,5,4,4,4,5,5,3,4,1,4,3,4,0,5,8,5,6,5,6,4,7,7,7,6,3,4,7,4,1
467,0,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,13,3,7,6,5,7,3,5,3,4,6,5,6,8,4,3,4,2,3,5,6,3,0,4,4,4,5,5,4,6,4,5,4,2
402,0,18,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,10,6,4,7,8,7,4,6,8,6,7,5,7,8,8,8,6,2,8,8,7,5,5,10,7,7,7,5,7,7,5,7,6,1
500,0,21,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,6,10,10,6,9,10,10,10,10,9,10,8,10,10,9,9,1,10,10,7,9,9,10,10,10,10,9,10,10,9,10,9,1
256,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,5,7,7,7,8,7,10,7,7,7,6,8,2,8,7,9,2,3,5,4,5,7,6,7,6,6,4,5,2,6,3,7,1
498,0,22,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13,4,10,7,8,8,8,9,8,8,6,8,5,9,7,7,7,2,9,9,6,7,4,9,9,7,8,7,8,8,5,8,6,1
304,0,23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,5,6,8,5,7,9,8,7,9,7,8,8,8,6,8,6,1,7,8,6,7,7,7,6,8,7,8,7,9,7,7,6,1
298,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,7,6,5,4,6,5,7,6,4,6,5,8,1,6,6,7,1,4,6,5,5,6,5,6,6,7,6,6,2,5,6,5,0
